"Ajo", 940.22, 93
"Lima", 1375.07, 184
"Zuccini", 93.72, 534
"Kinoto", 36.62, 208
"Naranja", 20.55, 910
"Rabanito", 218.28, 321
"Zanahoria", 33.01, 540
"Lechuga", 44.09, 792
"Mandarina", 20.02, 920
"Lima", 1044.38, 194
"Palta", 1159.78, 436
"Ajo", 897.50, 101
"Naranja", 16.16, 1110
"Manzana", 133.35, 1170
"Pomelo", 41.27, 1008
"Pomelo", 43.87, 792
"Cebolla", 65.58, 808
"Melón", 97.41, 460
"Zuccini", 88.60, 696
"Durazno", 152.21, 960
"Melón", 102.86, 328
"Acelga", 18.21, 1071
"Frambuesa", 1975.43, 87
"Cebolla", 57.90, 920
"Lechuga", 57.77, 729
"Champignon", 3605.40, 96
"Espárrago", 637.86, 164
"Apio", 52.94, 240
"Rabanito", 229.28, 312
"Morrón", 2948.86, 666
"Manzana", 132.59, 1000
"Berenjena", 43.46, 684
"Melón", 97.50, 436
"Frambuesa", 2078.97, 103
"Coliflor", 31.41, 505
"Mandarina", 16.31, 890
"Espárrago", 635.94, 162
"Champignon", 3600.83, 108
"Acelga", 27.44, 1053
"Zanahoria", 29.37, 510
"Manzana", 139.86, 880
"Tomate", 727.76, 900
"Ajo", 921.80, 118
"Palta", 1113.58, 408
"Apio", 47.26, 258
"Alcachofa", 124.85, 336
"Frutilla", 293.07, 330
"Cebolla", 73.69, 912
"Palta", 515.25, 555
"Durazno", 269.28, 712
"Palta", 465.70, 405
"Cereza", 994.21, 224
"Lima", 1050.71, 192
"Pomelo", 38.97, 909
"Durazno", 136.85, 752
"Brócoli", 366.95, 344
"Calabaza", 19.87, 744
"Pera", 115.32, 900
"Lechuga", 44.75, 990
"Papa", 16.76, 890
"Brócoli", 352.12, 340
"Rabanito", 219.46, 333
"Kinoto", 29.30, 202
"Cereza", 1070.05, 230
"Kiwi", 427.80, 400
"Sandía", 70.33, 747
"Higo", 2520.13, 104
"Pomelo", 45.03, 738
"Berenjena", 63.03, 690
"Kiwi", 431.41, 368
"Pera", 164.78, 1000
"Rabanito", 201.29, 303
"Lima", 1364.69, 216
"Acelga", 27.95, 828
"Pepino", 26.98, 585
"Cereza", 1086.02, 230
"Frutilla", 276.49, 339
"Pera", 160.98, 810
"Cebolla", 55.16, 904
"Kiwi", 465.99, 460
"Kiwi", 440.86, 364
"Banana", 59.83, 810
"Ciruela", 977.37, 819
"Zanahoria", 35.23, 684
"Sandía", 57.82, 900
"Apio", 58.48, 342
"Coliflor", 25.60, 490
"Lima", 1052.85, 238
"Morrón", 2933.41, 570
"Palta", 486.48, 450
"Cebolla", 58.96, 784
"Frambuesa", 2012.33, 94
"Limon", 329.61, 840
"Caqui", 820.31, 105
"Naranja", 19.56, 1180
"Durazno", 148.42, 712
"Lima", 1224.75, 174
"Mandarina", 21.75, 1040
"Kinoto", 31.84, 192
"Higo", 2461.79, 117
"Naranja", 13.47, 1020
"Naranja", 7.32, 800
"Palta", 489.65, 540
"Pepino", 39.22, 455
"Naranja", 15.90, 1190
"Durazno", 160.64, 912
"Durazno", 245.46, 936
"Apio", 60.29, 354
"Rabanito", 216.30, 303
"Palta", 505.66, 600
"Coliflor", 23.59, 485
"Cebolla", 54.39, 944
"Mandarina", 24.58, 1050
"Lechuga", 33.28, 900
"Choclo", 52.40, 339
"Pepino", 36.67, 530
"Lima", 1028.79, 192
"Rabanito", 222.25, 267
"Naranja", 10.12, 910
"Uva", 727.88, 306
"Palta", 520.67, 425
"TomCherry", 549.45, 234
"Zuccini", 71.33, 702
"Limon", 360.49, 805
"Batata", 23.94, 1080
"Kinoto", 34.16, 240
"Lechuga", 29.03, 729
"Palta", 1161.32, 332
"Ajo", 935.06, 112
"Durazno", 150.94, 648
"Espárrago", 643.00, 176
"Morrón", 3016.46, 576
"Calabaza", 17.98, 768
"Mandarina", 14.73, 1150
"Naranja", 11.40, 970
"Brócoli", 353.12, 364
"Rabanito", 254.02, 357
"Kinoto", 36.30, 176
"Calabaza", 23.90, 664
"Acelga", 15.25, 765
"Acelga", 21.82, 981
"Morrón", 2975.30, 528
"Palta", 495.86, 465
"Lima", 1204.58, 186
"Rabanito", 228.90, 288
"Pepino", 37.78, 515
"Zuccini", 77.17, 666
"Durazno", 134.85, 920
"Durazno", 283.79, 928
"Champignon", 3650.23, 90
"Kiwi", 440.04, 388
"Melón", 104.10, 376
"Palta", 518.63, 535
"Batata", 29.29, 810
"Kiwi", 455.49, 356
"Mandarina", 12.33, 1020
"Papa", 12.71, 1080
"Calabaza", 22.76, 784
"Caqui", 865.19, 109
"Champignon", 3579.93, 88
"Espárrago", 658.24, 168
"Tomate", 706.38, 1035
"Manzana", 138.51, 980
"Lima", 1211.85, 198
"Mandarina", 14.61, 820
"Higo", 2453.80, 91
"Tomate", 740.65, 1080
"Apio", 49.85, 345
"Coliflor", 30.50, 555
"Berenjena", 53.93, 606
"Durazno", 140.29, 640
"Brócoli", 357.21, 360
"Lima", 1380.34, 226
"Kiwi", 437.26, 388
"Naranja", 18.25, 910
"Ajo", 954.30, 111
"Ciruela", 935.58, 999
"Acelga", 18.61, 828
"Melón", 114.75, 384
"Brócoli", 374.34, 404
"Champignon", 3492.14, 85
"Palta", 496.59, 430
"Higo", 2488.02, 96
"Limon", 317.81, 707
"Limon", 316.47, 714
"Frambuesa", 2025.74, 97
"Durazno", 147.26, 736
"Apio", 59.71, 327
"Cebolla", 67.87, 832
"Frutilla", 291.79, 267
"Berenjena", 43.34, 480
"Berenjena", 63.41, 684
"Repollo", 3.74, 665
"Brócoli", 337.61, 356
"Melón", 101.17, 332
"Champignon", 3701.76, 101
"Durazno", 164.68, 736
"Acelga", 21.55, 729
"Rabanito", 247.07, 330
"Champignon", 3570.23, 99
"Naranja", 21.05, 970
"Repollo", 5.20, 763
"Cebolla", 75.08, 696
"Lechuga", 49.22, 1035
"Lima", 1397.93, 184
"Ciruela", 980.16, 765
"Palta", 470.52, 495
"Ajo", 916.30, 99
"Choclo", 65.88, 291
"Caqui", 862.15, 104
"Alcachofa", 154.48, 306
"Manzana", 137.00, 1010
"Apio", 63.97, 354
"Sandía", 52.69, 1008
"Sandía", 43.12, 828
"Naranja", 12.83, 1200
